mssv,dtb_toankhoa,dtb_tichluy,sotc_tichluy
E134A5BEXPvAibaEXe8K9VKm2afHLaJxHi92R/zU,7.2,7.2,149
1B5F428CXPvAibaEXe8K9VKm2afHLcrG7NGXSkAL,8.05,8.05,148
E0AE8B8AXPvAibaEXe+7P4TS0/ikVRSgiKM58KE9,1.47,0,0
6778C130XPvAibaEXe+7P4TS0/ikVcxrYCiN4Kyj,7.79,7.79,149
91E5E67CXPvAibaEXe8iGDMJikW1wm/fzv+kCFPN,7.32,7.32,153
A5085DE8XPvAibaEXe8iGDMJikW1wljc/V8g1C1o,7.4,7.4,146
44597D66XPvAibaEXe8iGDMJikW1wus8qKUjJv0B,7.74,7.74,153
2C093564XPvAibaEXe8pd25OrRS+bSnBwyRMfwuw,7.98,7.98,148
460FE95AXPvAibaEXe8pd25OrRS+bcsLaTm3oBVu,8.39,8.39,156
F34E4020XPvAibaEXe8pd25OrRS+bVa2uJMwiE2i,8.2,8.2,144
B14FD079XPvAibaEXe9TpEyDfKIVdfzFkY8LDe3z,3.04,6.18,13
33BAB02CXPvAibaEXe9TpEyDfKIVdepPvHRN0/0F,5.93,7.18,19
E3F994FFXPvAibaEXe893iM2Le1O8jHjbmeQ4Mxf,6.5,6.65,152
E4625928XPvAibaEXe893iM2Le1O8tz+Zuz25esB,6.63,6.63,148
F529C0C9XPvAibaEXe893iM2Le1O8pDe4tC7DTPb,6.88,7.37,141
9EFB2679XPvAibaEXe893iM2Le1O8grF7ZE9EPoT,7.91,7.91,148
3D841DAEXPvAibaEXe9WGATIMl02LJS8n1lLdF33,7.77,7.77,156
D6CA403FXPvAibaEXe9WGATIMl02LG50pTmVL/bW,6.89,6.89,144
EFCB9543XPvAibaEXe9WGATIMl02LHB8H3jszgG1,1.98,6.47,15
317F4908XPvAibaEXe9WGATIMl02LLeAEzyRzdkc,8.46,8.46,145
82CDD006XPvAibaEXe9WGATIMl02LLfwAtGJNJ7j,5.2,6.91,95
BDA8F475XPvAibaEXe9WGATIMl02LEaibTVYKq1l,6.3,6.78,149
FCB48C3AXPvAibaEXe+zrGHfAUSFabKbz9bBSiV8,7.54,7.54,153
67D7036DXPvAibaEXe+zrGHfAUSFabjrbPTYEo23,7.37,7.37,148
DF522B8DXPvAibaEXe+zrGHfAUSFacLkM4T9DLZg,6.61,6.96,151
D77B1380XPvAibaEXe+zrGHfAUSFaQpSAqeM2bzz,3.71,6.99,26
EC385B25XPvAibaEXe+zrGHfAUSFaSWfOcnuwhIE,2.54,6.94,8
DF564083XPvAibaEXe9ASX2YKqk5AaV4qY6WcSHA,6.84,6.84,152
1617AD15XPvAibaEXe9ASX2YKqk5AWKovvf31mk7,3.09,6.8,9
B2EA3ECBXPvAibaEXe9ASX2YKqk5Aap+nIqZT1UR,7.8,7.8,153
D9B44B1CXPvAibaEXe9ASX2YKqk5Aeh+/OS8HqTX,6.92,6.92,148
4C2E83D1XPvAibaEXe9ASX2YKqk5AXIWmP3Cm1tW,8.32,8.32,148
30D530DDXPvAibaEXe9ASX2YKqk5AYS0r+LRs1lV,7.05,7.05,149
8102A180XPvAibaEXe9ASX2YKqk5AdNqCDkyFwYx,7.52,7.57,152
E0E18590XPvAibaEXe/acEOI5E1magxCp2zlAapz,7.59,7.7,147
65EE524DXPvAibaEXe/acEOI5E1mark2vdzXFTiz,6.03,6.94,54
1B589EDAXPvAibaEXe/acEOI5E1mat8kYIAq4StW,7.57,7.57,153
3547A27CXPvAibaEXe/JRR+qhRXMm5LPIyI46Mn9,5.22,6.69,112
048D7432XPvAibaEXe/JRR+qhRXMm+5z8ZDG9qI1,4.26,6.29,55
D798FB1BXPvAibaEXe92CdOgj+Qa/RF6cGtj1Bzl,7.69,7.69,140
41EF8A63XPvAibaEXe92CdOgj+Qa/faRc4eW+qld,4.4,6.05,72
8B9FD2DBXPvAibaEXe92CdOgj+Qa/bUGTQ7V3EuT,8.18,8.18,153
DD04F84BXPvAibaEXe/7jtQOMcuJ+yq1noCyFIxx,7.28,7.35,142
E5B18116XPvAibaEXe/7jtQOMcuJ+3mMd8xWafpS,7.19,7.19,148
715030C0XPvAibaEXe/7jtQOMcuJ+31csSiny4MA,6.49,6.53,141
F96F26BDXPvAibaEXe/7jtQOMcuJ+4eFmj09T6qD,4.46,6.02,59
90DB2E8EXPvAibaEXe+IfVguXAeAtZiVpbm6nqcF,8.51,8.51,141
AEB24512XPvAibaEXe+IfVguXAeAtX/Y9IhZlUDe,7.81,7.81,136
DE497535XPvAibaEXe+IfVguXAeAtVEyF1rA9Vvu,6.6,6.67,146
29C85D60XPvAibaEXe8qBtIUs9INC/pF8ftvBlnc,6.9,6.9,141
CA90782BXPvAibaEXe8qBtIUs9INC+5foK/FHD/Y,6.77,7.29,151
452D43E9XPvAibaEXe8qBtIUs9INC7/L+jylxzMv,4.63,6.17,31
F54A694BXPvAibaEXe8qBtIUs9INC3DDTOSk+lWF,7.03,7.03,152
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,7.59,7.64,152
46C3D7D4XPvAibaEXe80NXGyYVtTlkERJq09lvgo,5.57,6.57,119
D0AEF330XPvAibaEXe80NXGyYVtTlq6XKsqu9Wjz,6.61,6.61,143
E77126F1XPvAibaEXe/A+LHGtXv8v2OVsnXkSElW,7.26,7.26,162
95B284C9XPvAibaEXe/A+LHGtXv8v5yD9Z+2lNZC,8.07,8.07,141
F4DB1E20XPvAibaEXe/A+LHGtXv8vwqN9/NsLjkK,0.48,0,0
542FD613XPvAibaEXe+cv7qSCYkQet+8WVAW0Q4F,8.25,8.25,148
28768CA3XPvAibaEXe+cv7qSCYkQeoJYs7nj4X0r,5.09,7.92,13
DB3B22F4XPvAibaEXe+cv7qSCYkQekKv/AFTKFbX,4.53,6.01,37
F975AAB3XPvAibaEXe+cv7qSCYkQeuLQ3vp3YWgK,5.62,7.32,112
CBE89B85XPvAibaEXe+aP8CrMM5f5FIlN52e1MLW,7.96,7.96,148
CF4EB98CXPvAibaEXe+aP8CrMM5f5DmhblKSI4k+,6.58,6.77,148
06AF4558XPvAibaEXe8eJZh5OyStbMQ0oi5wpMJM,7.76,7.76,141
5D9E8C8BXPvAibaEXe8eJZh5OyStbODj1Tnxwu0B,0,0,0
F50E7697XPvAibaEXe+uS3hCcqF/s/aPOBzTkdzm,7.82,7.82,152
