mssv,sotc_hk1,sotc_hk2,sotc_hk3,sotc_hk4,sotc_hk5,sotc_hk6,sotc_hk7,sotc_hk8,sotc_hk9,sotc_hk10,sotc_hk11,sotc_hk12,sotc_hk13,sotc_hk14,sotc_hk15,sotc_hk16,sotc_hk17,sotc_hk18,sotc_hk19,sotc_hk20,sotc_hk21,sotc_hk22
0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q,13,20.0,20.0,15.0,,,,,,,,,,,,,,,,,,
0187B0F3XPvAibaEXe/vGZ1xWLvpK/uzWZb2e41X,12,12.0,,,,,,,,,,,,,,,,,,,,
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,15,19.0,16.0,23.0,23.0,22.0,16.0,5.0,12.0,2.0,,,,,,,,,,,,
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,15,24.0,24.0,20.0,4.0,15.0,22.0,25.0,,,,,,,,,,,,,,
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,20,19.0,19.0,16.0,20.0,15.0,10.0,,,,,,,,,,,,,,,
01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,17,24.0,23.0,15.0,21.0,,,,,,,,,,,,,,,,,
01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,20,19.0,22.0,18.0,16.0,,,,,,,,,,,,,,,,,
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,17,16.0,12.0,7.0,18.0,8.0,,,,,,,,,,,,,,,,
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,19,19.0,23.0,20.0,16.0,16.0,17.0,8.0,14.0,,,,,,,,,,,,,
01B43A91XPvAibaEXe+405HcUVDyrjiFxCzRPXI9,18,,,,,,,,,,,,,,,,,,,,,
01B52BE5XPvAibaEXe9eYPx3anXXhOEtGOeWYZrn,15,10.0,,,,,,,,,,,,,,,,,,,,
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD,9,17.0,10.0,21.0,16.0,19.0,17.0,8.0,12.0,7.0,10.0,,,,,,,,,,,
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,16,21.0,14.0,21.0,7.0,19.0,21.0,19.0,22.0,25.0,21.0,4.0,21.0,,,,,,,,,
01C75C0AXPvAibaEXe/lR/YYAy+70aJGvl+xOHCU,19,19.0,20.0,19.0,15.0,,,,,,,,,,,,,,,,,
01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K,22,0.0,,,,,,,,,,,,,,,,,,,,
01D07381XPvAibaEXe/kLXGQZojyiX0YyjBfm3xz,20,,,,,,,,,,,,,,,,,,,,,
01D17AF7XPvAibaEXe+RuJt6KkmrDL2iuaLrn1k6,7,10.0,8.0,16.0,17.0,2.0,22.0,,,,,,,,,,,,,,,
01D76729XPvAibaEXe8p+Buz4QuyY+shx0n30bae,22,16.0,20.0,,,,,,,,,,,,,,,,,,,
01E3E064XPvAibaEXe9TiGIvRgTlW7dNdrpPnNWF,20,,,,,,,,,,,,,,,,,,,,,
01FC84E3XPvAibaEXe8kgetl0RKXUp37EUoBxHWk,14,,,,,,,,,,,,,,,,,,,,,
02193C3DXPvAibaEXe+TNSfG6uJKIkeF2q+8Gwlb,14,22.0,24.0,,,,,,,,,,,,,,,,,,,
0228A14DXPvAibaEXe/S2GAGS7TusFPD1HnqVv4e,22,16.0,16.0,,,,,,,,,,,,,,,,,,,
0229A978XPvAibaEXe9l64yhPVxhaWeJUNcrCnmf,17,19.0,14.0,,,,,,,,,,,,,,,,,,,
022F92FFXPvAibaEXe8m7ybKj0ITrwbZ3v50vX4r,16,23.0,14.0,14.0,16.0,,,,,,,,,,,,,,,,,
0231E650XPvAibaEXe8Uni3vOWXwqI15Y1ecKZ4d,14,20.0,16.0,,,,,,,,,,,,,,,,,,,
0238C60FXPvAibaEXe/H1VZJBzJAwvbgak7AXdRX,0,,,,,,,,,,,,,,,,,,,,,
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,16,21.0,22.0,7.0,19.0,14.0,8.0,0.0,,,,,,,,,,,,,,
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,20,22.0,24.0,23.0,22.0,18.0,10.0,12.0,4.0,,,,,,,,,,,,,
0244B415XPvAibaEXe91TSm2Uq+S2wGSrXl/U+VW,17,,,,,,,,,,,,,,,,,,,,,
02471672XPvAibaEXe/wcf8soaIdyu4B652y6lan,19,23.0,12.0,,,,,,,,,,,,,,,,,,,
024CBC8DXPvAibaEXe+rQqH2xQ3mKzcD3bDBELXl,16,17.0,15.0,,,,,,,,,,,,,,,,,,,
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,19,21.0,20.0,22.0,19.0,16.0,17.0,12.0,,,,,,,,,,,,,,
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,22,24.0,3.0,21.0,17.0,7.0,24.0,20.0,19.0,19.0,23.0,14.0,3.0,19.0,13.0,9.0,,,,,,
0259620BXPvAibaEXe8qdDDDT8MR9ERf8n5O1hdo,18,,,,,,,,,,,,,,,,,,,,,
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,20,17.0,20.0,19.0,23.0,22.0,17.0,,,,,,,,,,,,,,,
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,22,11.0,7.0,24.0,22.0,19.0,18.0,4.0,17.0,23.0,3.0,18.0,23.0,23.0,2.0,,,,,,,
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,20,20.0,20.0,23.0,18.0,14.0,16.0,10.0,,,,,,,,,,,,,,
0274C264XPvAibaEXe91UcttbrYag2jklAZJMb7s,15,19.0,11.0,,,,,,,,,,,,,,,,,,,
0276C28DXPvAibaEXe92DIzGarcXxFtmAWFTKF/F,18,20.0,20.0,25.0,19.0,,,,,,,,,,,,,,,,,
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,15,17.0,3.0,18.0,22.0,3.0,24.0,19.0,23.0,13.0,11.0,4.0,,,,,,,,,,
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,20,22.0,20.0,15.0,18.0,14.0,15.0,7.0,,,,,,,,,,,,,,
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,11,12.0,8.0,17.0,17.0,0.0,20.0,16.0,16.0,16.0,13.0,,,,,,,,,,,
02A23754XPvAibaEXe+0+eVMEKBIVfxwPdSMmY5U,18,,,,,,,,,,,,,,,,,,,,,
02A2AE13XPvAibaEXe8FNnc+c+WuJK7wR2tq8jV9,16,15.0,22.0,17.0,6.0,,,,,,,,,,,,,,,,,
02A2EECAXPvAibaEXe8MfmBSa3BXeClOp9uA+0e6,14,,,,,,,,,,,,,,,,,,,,,
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,19,21.0,19.0,23.0,21.0,20.0,12.0,11.0,,,,,,,,,,,,,,
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,15,15.0,4.0,23.0,24.0,20.0,22.0,20.0,10.0,11.0,,,,,,,,,,,,
02B7506DXPvAibaEXe+k62RFIc5kZJ+3vcf6DF6N,21,20.0,19.0,,,,,,,,,,,,,,,,,,,
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,13,17.0,25.0,23.0,17.0,23.0,23.0,14.0,15.0,13.0,13.0,12.0,4.0,,,,,,,,,
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,22,22.0,21.0,18.0,16.0,17.0,14.0,14.0,,,,,,,,,,,,,,
02D11BA0XPvAibaEXe/twT+sf632fV68MOhuBLMU,13,22.0,18.0,19.0,18.0,15.0,10.0,,,,,,,,,,,,,,,
02D8F879XPvAibaEXe+OQt2grxVQNx94/N9FKXBn,17,16.0,4.0,19.0,,,,,,,,,,,,,,,,,,
02DBEB66XPvAibaEXe9zribmicFSmUzcsEb5VOez,22,,,,,,,,,,,,,,,,,,,,,
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,17,19.0,24.0,17.0,7.0,19.0,15.0,24.0,19.0,14.0,,,,,,,,,,,,
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,22,18.0,20.0,14.0,15.0,28.0,4.0,20.0,21.0,8.0,15.0,14.0,14.0,,,,,,,,,
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,20,24.0,17.0,15.0,15.0,14.0,20.0,,,,,,,,,,,,,,,
02FCB1D7XPvAibaEXe+rerDIV2V6o2T9UoVKgbO/,20,,,,,,,,,,,,,,,,,,,,,
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,15,20.0,18.0,20.0,23.0,17.0,10.0,0.0,,,,,,,,,,,,,,
030B245FXPvAibaEXe/jTKXgBOsBDW4FRbuPOBJq,16,16.0,20.0,12.0,,,,,,,,,,,,,,,,,,
030EC5D4XPvAibaEXe+6333OdPqlxr0zrQoKeC6U,16,17.0,18.0,15.0,22.0,,,,,,,,,,,,,,,,,
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,19,13.0,16.0,14.0,7.0,18.0,15.0,18.0,13.0,4.0,18.0,,,,,,,,,,,
03102AA8XPvAibaEXe8JyzRlwVelI4su+QPmcQhh,20,18.0,17.0,,,,,,,,,,,,,,,,,,,
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,20,22.0,18.0,,,,,,,,,,,,,,,,,,,
031B760AXPvAibaEXe9KztDs5zkBQtJkYA6Ehute,14,15.0,19.0,12.0,16.0,,,,,,,,,,,,,,,,,
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,13,21.0,24.0,15.0,24.0,19.0,20.0,21.0,4.0,18.0,22.0,14.0,10.0,,,,,,,,,
03285E78XPvAibaEXe+trmCqFzXmqPMV3FkB9eXe,18,,,,,,,,,,,,,,,,,,,,,
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN,13,21.0,15.0,18.0,17.0,20.0,6.0,,,,,,,,,,,,,,,
0332F8F8XPvAibaEXe8LPxrujEz9HidW6z+mlSuX,18,,,,,,,,,,,,,,,,,,,,,
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,13,25.0,19.0,25.0,8.0,22.0,22.0,23.0,23.0,24.0,27.0,12.0,12.0,3.0,4.0,,,,,,,
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,20,20.0,23.0,23.0,3.0,20.0,20.0,17.0,18.0,12.0,,,,,,,,,,,,
033F886DXPvAibaEXe9KJs87LGFuVLck0jV/I2O/,16,21.0,4.0,20.0,,,,,,,,,,,,,,,,,,
0343C819XPvAibaEXe/xGSYcIp0f7PNCSNmme2n5,14,18.0,17.0,21.0,17.0,,,,,,,,,,,,,,,,,
0343D382XPvAibaEXe+TzeJm3OhZihVluyApcrLD,22,,,,,,,,,,,,,,,,,,,,,
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,17,19.0,6.0,18.0,23.0,23.0,20.0,24.0,12.0,,,,,,,,,,,,,
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,15,19.0,17.0,22.0,19.0,20.0,16.0,,,,,,,,,,,,,,,
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,17,21.0,22.0,24.0,22.0,21.0,20.0,14.0,,,,,,,,,,,,,,
0361DB02XPvAibaEXe8kAAygsYlH1cciRtB2UdAS,16,138.0,,,,,,,,,,,,,,,,,,,,
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,19,16.0,22.0,22.0,24.0,12.0,12.0,,,,,,,,,,,,,,,
03723A75XPvAibaEXe85hkLGQAJy3TsW8FoyJ83/,15,19.0,,,,,,,,,,,,,,,,,,,,
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,18,21.0,22.0,22.0,22.0,14.0,3.0,15.0,16.0,,,,,,,,,,,,,
0379C619XPvAibaEXe8O5dqp1A+l3ccwOba+X3W1,14,,,,,,,,,,,,,,,,,,,,,
