id,mssv,ngaythi,url,loaixn,url_1,loaixn_2,listening,speaking,reading,writing,tongdiem,lydo,trangthai,ngayxl
363.0,2FDA1CBDXPvAibaEXe9Bx5CZuIA9z7QfVITgMnow, '2018-10-09', 'bangcap/13520958/13520958_bangcap_TOEIC_LR_20181108231802.jpg', 'TOEIC_LR',230.0,,230.0,,235.0, '',1, '',1, '2018-12-10 09:25:00'
364.0,B1A037A2XPvAibaEXe8WA4OgPtanSFnF24e9gnpX, '2011-01-19', 'bangcap/14521178/14521178_bangcap_VNU-EPT_20181111141558.jpg', 'VNU-EPT',,,,,, '',1, '',1, '2018-12-28 08:37:03'
369.0,1E4A5AC6XPvAibaEXe9iBRrLJjO8dZDYHhYIuFfM, '2016-12-17', 'bangcap/14520653/14520653_bangcap_TOEIC_LR_20181118200155.jpg', 'TOEIC_LR',350.0,,350.0,,395.0, '',1, '',1, '2019-01-21 14:04:45'
370.0,854DCE91XPvAibaEXe+VxRd54HULEx9Z17eOqRWj, '2018-10-06', 'bangcap/17520738/17520738_bangcap_TOEIC_LR_20181119132847.jpg', 'TOEIC_LR',240.0,,240.0,,250.0, '',1, '',1, '2018-12-10 09:24:19'
372.0,2B420AFFXPvAibaEXe/rp0ev/rDe09IWbirGddUi, '2018-10-17', 'bangcap/14521040/14521040_bangcap_TOEIC_LR_20181121162600.jpg', 'TOEIC_LR',360.0,,360.0,,450.0, '',1, '',1, '2019-01-10 15:49:36'
374.0,32CCFFA3XPvAibaEXe+PmhPN+9CWc7kr/u7fET/Y, '2018-09-28', 'bangcap/14520479/14520479_bangcap_TOEIC_LR_20181121222639.jpeg', 'TOEIC_LR',360.0,,360.0,,365.0, '',1, '',1, '2019-01-10 15:49:50'
375.0,F4FA2B15XPvAibaEXe+NqszRBbPDt9G3cqKocHsJ,, 'https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17521296/17521296_chungchi_TOEIC_LR_20181127153630.jpg', 'TOEIC_LR',290.0,,290.0,,300.0, '',1, '',1, '2019-01-10 15:50:32'
377.0,D5FA45FAXPvAibaEXe+Om5b1Z5BSka3wiqaJgWti, '2017-11-22', 'bangcap/15520370/15520370_bangcap_TOEIC_LR_20181128094225.jpg', 'TOEIC_LR',280.0,,280.0,,265.0, '',1, '',1, '2019-01-10 15:47:04'
378.0,D5FA45FAXPvAibaEXe+Om5b1Z5BSka3wiqaJgWti, '2018-10-14', 'bangcap/15520370/15520370_bangcap_TOEIC_SW_20181128094501.jpg', 'TOEIC_SW',,100.0,,100.0,,130.0,1, '',1, '2019-06-18 11:17:14'
382.0,92FABDADXPvAibaEXe8VdV75E6kcrlmKtRsYo7nH, '2018-10-06', 'bangcap/14520396/14520396_bangcap_VNU-EPT_20181202182448.jpg', 'VNU-EPT',,,,,, '',1, '',1, '2019-01-21 10:49:56'
