mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
03723A75XPvAibaEXe85hkLGQAJy3TsW8FoyJ83/, KHCL2018,,,,,,,,,,,,,,
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX, ,,87.0,66.0,82.0,,,,,,,,,,
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988, KHCL2018,,,,,,,,,,,,,,
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/, MMTT2019,,,,,,,,,,,,,,
03810112XPvAibaEXe9fwZBwsCOuQPoWCjpy04cL, ,,61.0,,,,,,,,,,,,
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz, PMCL2019,,,,,,,,,,,,,,
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB, KHMT2016,,,,,,,,,,,,,,
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q, CNTT2019,,,,,,,,,,,,,,
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp, ATTN2017,,,,,,,,,,,,,,
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig, KTPM2018,,,,,,,,,,,,,,
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN, PMCL2018,,,,,,,,,,,,,,
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx, KHMT2016,,,,,,,,,,,,,,
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F, CNCL2019,,,,,,,,,,,,,,
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC, ,,78.0,90.0,,,,,,,,,,,
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr, ATTT2017,,,,,,,,,,,,,,
03C79B24XPvAibaEXe+PAOVcd+LnOZDHTOc4IJv0, HTTT2015,,,,,,,,,,,,,,
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv, ANTT2015,,,,,,,,,,,,,,
03E9147DXPvAibaEXe+NnQrnI1K9JMnAja73zCHH, KTMT2017,,,,,,,,,,,,,,
03ECE99EXPvAibaEXe8NoNh54Mn6M+2xXKb+BCMr, ANTT2015,,,,,,,,,,,,,,
03F0FDF5XPvAibaEXe81r7KrCH0uc/DWUtJIS0l8, CTTT2017,,,,,,,,,,,,,,
03F181B0XPvAibaEXe+7uLWSh9XvQs9BhtrBVBeU, KHMT2016,,,,,,,,,,,,,,
03F799BCXPvAibaEXe9MnecufC0W/vTkuEmnC2RW, TMĐT2019,,,,,,,,,,,,,,
0402B932XPvAibaEXe9xHju59ydahTjwi8JiBa4z, HTTT2015,,,,,,,,,,,,,,
0406981FXPvAibaEXe+M8JaUhbJyecydVJn03CsO, MMTT2016,,,,,,,,,,,,,,
0419426CXPvAibaEXe/EvmuerN6w1BIIPdWHHov2, TMĐT2017,,,,,,,,,,,,,,
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW, MTCL2019,,,,,,,,,,,,,,
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7, KTPM2016,,,,,,,,,,,,,,
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN, KHDL2019,,,,,,,,,,,,,,
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn, HTCL2017,,,,,,,,,,,,,,
045380DDXPvAibaEXe+ItThaeWSaTjqzWjK/+ZK7, HTTT2017,,,,,,,,,,,,,,
0457DCC0XPvAibaEXe/CDMtnBauOUNMC60BG9GmS, CNTT2018,,,,,,,,,,,,,,
0460817DXPvAibaEXe/57ZZLpsI5pdWpukWEzeJA, HTCL2019,,,,,,,,,,,,,,
0463ACC3XPvAibaEXe+Ps8zYokGtSapa8Xbcuvzs, PMCL2017,,,,,,,,,,,,,,
046DFC1EXPvAibaEXe8d5+4VMyfVsJ8BKuqNRrBF, KHDL2019,,,,,,,,,,,,,,
04703EC6XPvAibaEXe+pyJpvsB6nZNTWzQVDye30, KHDL2019,,,,,,,,,,,,,,
04782F2FXPvAibaEXe9PMC4shTguo6ck0HN7QeAg, KTPM2018,,,,,,,,,,,,,,
047911D8XPvAibaEXe+fPSOag5leTYMAZx0GJa1L, CNTT2015,,,,,,,,,,,,,,
047B5CA3XPvAibaEXe8c53vaOKMxC239GQMYdXlR, KTPM2014,83.0,,,,,,,,,,,,,
048D7432XPvAibaEXe/JRR+qhRXMm+5z8ZDG9qI1, KTMT2016,,,,,,,,,,,,,,
048FA4C0XPvAibaEXe87zPkGv/Pdbr2144f7+cX9, CNTT2018,,,,,,,,,,,,,,
04937B4DXPvAibaEXe+KnWgScvZ27EaSNJL9HdvK, CNTT2018,,,,,,,,,,,,,,
04993E46XPvAibaEXe/c+AA7R58MU9q6TAEVnxuT, CNTT2019,,,,,,,,,,,,,,
0499BD34XPvAibaEXe8cSwcDAK/pUFr2X7+QevI0, HTCL2017,,,,,,,,,,,,,,
049B1D99XPvAibaEXe+7yjglV2dMp28RxoCMvatp, HTTT2017,,,,,,,,,,,,,,
04AD9652XPvAibaEXe/6muSCAeQUC/HrmBsgyb6e, ,,24.0,48.0,,,,,,,,,,,
04AEE489XPvAibaEXe9u8ftW5AKWETBFyE+T26n4, CNCL2019,,,,,,,,,,,,,,
04B8CFCFXPvAibaEXe/baiw3K4HkF2jQGbVW7zgO, KTMT2014,84.0,,,,,,,,,,,,,
04C4D9F8XPvAibaEXe+/MvKIb2VAVSyw+efhOMhT, ANTT2016,,,,,,,,,,,,,,
