mssv,lopsh,drl_hk1,drl_hk2,drl_hk3,drl_hk4,drl_hk5,drl_hk6,drl_hk7,drl_hk8,drl_hk9,drl_hk10,drl_hk11,drl_hk12,drl_hk13,drl_hk14
02A2EECAXPvAibaEXe8MfmBSa3BXeClOp9uA+0e6,KHDL2022,90,,,,,,,,,,,,,
02A64D77XPvAibaEXe+LLN9FKbXQHXhuevnAwP5/,KHMT06,62,62,59,56,57,,,,,,,,,
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,HTTT2017,95,100,90,75,81,90,83,96,,,,,,
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,HTCL2016,62,64,81,75,79,74,58,67,58,58,50,,,
02B7506DXPvAibaEXe+k62RFIc5kZJ+3vcf6DF6N,ATTT2021,100,90,100,,,,,,,,,,,
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,KTPM2015,85,65,64,70,80,70,75,70,79,58,50,63,,
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,,86,87,96,100,81,79,100,85,,,,,,
02D11BA0XPvAibaEXe/twT+sf632fV68MOhuBLMU,TMĐT2019,100,100,100,100,100,100,86,,,,,,,
02D8F879XPvAibaEXe+OQt2grxVQNx94/N9FKXBn,ATTT2021,90,90,95,,,,,,,,,,,
02D9A220XPvAibaEXe+KnWgScvZ27LP2iqB5e3NW,KHCL2019,78,70,66,82,89,77,70,,,,,,,
02DAE881XPvAibaEXe9towEleTnx8SL/9Q5eOFLC,CNT22013,50,,,,,,,,,,,,,
02DBEB66XPvAibaEXe9zribmicFSmUzcsEb5VOez,KTMT2022,55,,,,,,,,,,,,,
02E7E8ADXPvAibaEXe/1GWUExVOYU6DbqO2aNhBN,,54,,,,,,,,,,,,,
02E8D941XPvAibaEXe/d/S/pWxgpN56GFueraI0v,KHMT03,83,,,,,,,,,,,,,
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,HTTT2014,90,66,94,67,62,65,80,80,68,75,50,50,53,
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,,59,48,54,-24,24,10,30,15,50,,,,,
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,ATTN2019,100,100,100,100,100,100,100,,,,,,,
02FCB1D7XPvAibaEXe+rerDIV2V6o2T9UoVKgbO/,HTTT2022,100,,,,,,,,,,,,,
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,HTCL2019,90,72,88,82,89,81,94,,,,,,,
